hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H02,"H02|W=60;U=60|XR",XR,8736,PRIMARY,8467,21,-0.16849813233755684,-0.2672423614147205,0.16924530530294082,-0.1842576052585003,-0.15039528600528498,-0.1709223335018262,-0.16927185041584583,0.037085154127790246
H02,"H02|W=60;U=60|XR",XR,8736,NOINS,8467,21,-0.1697042922159799,-0.2689843555231581,0.16794614385260423,-0.1856616172806246,-0.15131497074323835,-0.1721289208790651,-0.17049156546692243,0.037085154127790246
H02,"H02|W=60;U=60|XR",XR,8736,L10,7883,21,-0.16505724242148592,-0.24429654245281507,0.1657998224026386,-0.18218943698019677,-0.14642935488150807,-0.16756452740749464,-0.1700739362043063,0.035265761765825195
H02,"H02|W=60;U=60|XG",XG,8736,KILL,8648,21,-0.16798677537503998,-0.30763375453957514,0.07273358001850139,-0.1807607920218005,-0.15290824763084554,-0.17057300495565675,-0.16798954041659434,0.012950971322849213
H02,"H02|W=60;U=60|XG",XG,8736,PRIMARY,8467,21,-0.23022131326188394,-0.3240450786374034,0.07558757529231133,-0.24873016423307592,-0.20791622832002263,-0.2329208737095543,-0.23157458422455468,0.021022794378174087
H02,"H02|W=60;U=60|XG",XG,8736,NOINS,8467,21,-0.23129466092605208,-0.32398695240530434,0.07558757529231133,-0.2496981021976405,-0.20920444489584317,-0.23399456114000203,-0.2325989294346845,0.020432266446202905
H02,"H02|W=60;U=60|XG",XG,8736,L10,7883,21,-0.22115376416200933,-0.3143658690419537,0.08004566789293416,-0.239297512718439,-0.20053298485818025,-0.22455277911659027,-0.227794264940484,0.02955727514905493
H02,"H02|W=180;U=15|XT60",XT60,23133,KILL,22870,21,-0.049953911267247145,-0.034865847470275116,0.21670310450371666,-0.05370519427482742,-0.045865816476316525,-0.050881014725423224,-0.04995240648787689,0.0036729339746392653
H02,"H02|W=180;U=15|XT60",XT60,23133,PRIMARY,22788,21,-0.04195713351976988,-0.027025822885969733,0.224855186940495,-0.04591656186377582,-0.03774065901936239,-0.04292612801697799,-0.04180571701059287,0.0035983851149727925
H02,"H02|W=180;U=15|XT60",XT60,23133,NOINS,22788,21,-0.046326351697599084,-0.033136376804355425,0.22037914691943128,-0.05022160632327679,-0.042193793757978375,-0.04729516199969262,-0.04617846713700067,0.0035545023696682463
